seed,n_knapsacks,n_items,alpha,branching_rule,node_selection,best_solution,best_bound,runtime,depth,number_of_left_turns,nodes_explored,terminate,number_of_nodes_for_optimality,optimal_solution,opt_gap
1,2,5,0.5,profit_per_weight_ratio,breadth_first,21,21.0,0.00011086463928222656,2,0,2,True,2,21.0,0.0
1,2,5,0.5,kolasar_rule,breadth_first,21,25.0,0.0001678466796875,2,0,2,True,2,21.0,0.0
1,2,5,0.8,critical_element,greatest_upper_bound,21,21.0,0.00011682510375976562,2,0,2,True,2,21.0,0.0
1,2,5,0.8,profit_per_weight_ratio,greatest_upper_bound,21,21.0,0.00011110305786132812,2,0,2,True,2,21.0,0.0
1,2,5,0.8,kolasar_rule,greatest_upper_bound,21,25.0,0.00016736984252929688,2,0,2,True,2,21.0,0.0
1,2,5,0.8,critical_element,depth_first,21,21.0,0.00011920928955078125,2,0,2,True,2,21.0,0.0
1,2,5,0.8,profit_per_weight_ratio,depth_first,21,21.0,0.00010991096496582031,2,0,2,True,2,21.0,0.0
1,2,5,0.8,kolasar_rule,depth_first,21,25.0,0.0001678466796875,2,0,2,True,2,21.0,0.0
1,2,5,0.8,critical_element,breadth_first,21,21.0,0.00011014938354492188,2,0,2,True,2,21.0,0.0
1,2,5,0.8,profit_per_weight_ratio,breadth_first,21,21.0,0.000110626220703125,2,0,2,True,2,21.0,0.0
1,2,5,0.8,kolasar_rule,breadth_first,21,25.0,0.0001690387725830078,2,0,2,True,2,21.0,0.0
1,2,5,0.95,critical_element,greatest_upper_bound,21,21.0,0.000110626220703125,2,0,2,True,2,21.0,0.0
1,2,5,0.95,profit_per_weight_ratio,greatest_upper_bound,21,21.0,0.00012087821960449219,2,0,2,True,2,21.0,0.0
1,2,5,0.95,kolasar_rule,greatest_upper_bound,21,21.0,0.00023674964904785156,3,1,4,True,2,21.0,0.0
1,2,5,0.95,critical_element,depth_first,21,21.0,0.00011086463928222656,2,0,2,True,2,21.0,0.0
1,2,5,0.95,profit_per_weight_ratio,depth_first,21,21.0,0.00011110305786132812,2,0,2,True,2,21.0,0.0
1,2,5,0.95,kolasar_rule,depth_first,21,21.0,0.0002384185791015625,3,1,4,True,2,21.0,0.0
1,2,5,0.95,critical_element,breadth_first,21,21.0,0.00010967254638671875,2,0,2,True,2,21.0,0.0
1,2,5,0.95,profit_per_weight_ratio,breadth_first,21,21.0,0.00011610984802246094,2,0,2,True,2,21.0,0.0
