seed,n_machines,n_jobs,epsilon,branching_rule,node_selection,rounding_rule,lower_bound,best_solution,runtime,depth,nodes_explored,terminate,number_of_nodes_for_optimality,optimal_solution,opt_gap
0,2,5,0.01,max_min_proc,lowest_lower_bound,all_to_shortest,bin_search,100,0.0861556529998779,2,5,True,2,100,1.4210854715202E-16
0,2,5,0.01,max_min_proc,depth_first,best_matching,lin_relax,100,0.0137538909912109,2,5,True,2,100,1.4210854715202E-16
0,2,5,0.01,max_min_proc,depth_first,all_to_shortest,lin_relax,100,0.0135412216186523,2,5,True,2,100,1.4210854715202E-16
0,2,5,0.01,max_min_proc,depth_first,best_matching,bin_search,100,0.0866477489471436,2,5,True,2,100,1.4210854715202E-16
0,2,5,0.01,max_min_proc,depth_first,all_to_shortest,bin_search,100,0.0875020027160645,2,5,True,2,100,1.4210854715202E-16
0,2,5,0.01,max_min_proc,breadth_first,best_matching,lin_relax,100,0.0140087604522705,2,5,True,2,100,1.4210854715202E-16
0,2,5,0.01,max_min_proc,breadth_first,all_to_shortest,lin_relax,100,0.0140933990478516,2,5,True,2,100,1.4210854715202E-16
0,2,5,0.01,max_min_proc,breadth_first,best_matching,bin_search,100,0.0895981788635254,2,5,True,2,100,1.4210854715202E-16
0,2,5,0.01,max_min_proc,breadth_first,all_to_shortest,bin_search,100,0.0892748832702637,2,5,True,2,100,1.4210854715202E-16
1,2,5,0.5,max_min_proc,lowest_lower_bound,best_matching,lin_relax,80,0.00501418113708496,0,2,True,2,80,0
1,2,5,0.5,max_min_proc,lowest_lower_bound,all_to_shortest,lin_relax,80,0.00477385520935059,0,2,True,2,80,0
1,2,5,0.5,max_min_proc,lowest_lower_bound,best_matching,bin_search,81,0.0272243022918701,0,2,True,2,80,0.0123456790123457
1,2,5,0.5,max_min_proc,lowest_lower_bound,all_to_shortest,bin_search,81,0.0272419452667236,0,2,True,2,80,0.0123456790123457
1,2,5,0.5,max_min_proc,depth_first,best_matching,lin_relax,80,0.00477981567382813,0,2,True,2,80,0
1,2,5,0.5,max_min_proc,depth_first,all_to_shortest,lin_relax,80,0.00474834442138672,0,2,True,2,80,0
1,2,5,0.5,max_min_proc,depth_first,best_matching,bin_search,81,0.0272519588470459,0,2,True,2,80,0.0123456790123457
1,2,5,0.5,max_min_proc,depth_first,all_to_shortest,bin_search,81,0.0272300243377686,0,2,True,2,80,0.0123456790123457
1,2,5,0.5,max_min_proc,breadth_first,best_matching,lin_relax,80,0.0047760009765625,0,2,True,2,80,0
1,2,5,0.5,max_min_proc,breadth_first,all_to_shortest,lin_relax,80,0.0048067569732666,0,2,True,2,80,0
1,2,5,0.5,max_min_proc,breadth_first,best_matching,bin_search,81,0.0273239612579346,0,2,True,2,80,0.0123456790123457
1,2,5,0.5,max_min_proc,breadth_first,all_to_shortest,bin_search,81,0.0273191928863525,0,2,True,2,80,0.0123456790123457
